constructorId,name,nationality_x,qualifyId,driverId,position,q1,q2,q3,driverRef,code,forename,surname,dob,nationality_y
1,McLaren,British,1,1,1,1:26.572,1:25.187,1:26.714,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,3,5,3,1:25.664,1:25.452,1:27.079,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,25,5,3,1:35.227,1:34.759,1:36.613,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,26,1,4,1:35.392,1:34.627,1:36.709,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,47,1,3,1:32.750,1:31.922,1:33.292,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,49,5,5,1:33.057,1:31.718,1:33.488,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,71,1,5,1:21.366,1:20.825,1:22.096,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,72,5,6,1:21.430,1:20.817,1:22.231,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,90,5,2,1:26.736,1:26.290,1:27.808,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,91,1,3,1:26.192,1:26.477,1:27.923,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,111,1,3,1:15.582,1:15.322,1:15.839,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,112,5,4,1:15.295,1:15.389,1:16.165,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,129,1,1,1:16.909,1:17.034,1:17.886,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,135,5,7,1:17.287,1:17.684,1:19.089,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,151,1,3,1:15.634,1:15.293,1:16.693,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,154,5,6,1:15.965,1:15.639,1:16.944,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,169,5,1,1:19.957,1:19.597,1:21.049,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,172,1,4,1:20.288,1:19.537,1:21.835,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,189,1,1,1:15.218,1:14.603,1:15.666,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,191,5,3,1:15.476,1:14.855,1:16.143,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,209,1,1,1:19.376,1:19.473,1:20.899,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,210,5,2,1:19.945,1:19.480,1:21.140,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,230,1,2,1:38.464,1:37.954,1:39.199,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,233,5,5,1:38.656,1:38.120,1:39.937,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,249,1,1,1:46.887,1:46.088,1:47.338,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,251,5,3,1:46.812,1:46.037,1:47.815,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,270,5,2,1:35.214,1:35.843,1:37.631,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,283,1,15,1:35.394,1:39.265,\N,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,290,1,2,1:44.501,1:44.932,1:45.465,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,293,5,5,1:44.311,1:44.207,1:45.873,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,309,1,1,1:18.071,1:17.462,1:18.404,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,311,5,3,1:18.220,1:17.360,1:18.821,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,329,1,1,1:35.566,1:34.947,1:36.303,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,333,5,5,1:35.623,1:35.216,1:36.930,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,352,1,4,1:12.213,1:11.856,1:12.830,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
1,McLaren,British,353,5,5,1:12.366,1:11.768,1:12.917,kovalainen,KOV,Heikki,Kovalainen,1981-10-19,Finnish
1,McLaren,British,370,4,2,1:26.697,1:25.326,1:26.493,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish
1,McLaren,British,372,1,4,1:26.674,1:25.577,1:26.755,hamilton,HAM,Lewis,Hamilton,1985-01-07,British
